SiteName,UVI,PublishAgency,County,WGS84Lon,WGS84Lat,PublishTime
花蓮,5.59,中央氣象局,花蓮縣,"121,36,48","23,58,30",2015-11-23 12:00
馬祖,4.49,中央氣象局,連江縣,"119,55,24","26,10,09",2015-11-23 12:00
高雄,4.39,中央氣象局,高雄市,"120,18,57","22,33,58",2015-11-23 12:00
玉山,8.14,中央氣象局,南投縣,"120,57,34","23,29,15",2015-11-23 12:00
臺南,4.45,中央氣象局,臺南市,"120,12,17","22,59,36",2015-11-23 12:00
新竹,3.75,中央氣象局,新竹縣,"121,00,51","24,49,40",2015-11-23 12:00
鞍部,1.18,中央氣象局,臺北市,"121,31,47","25,10,57",2015-11-23 12:00
恆春,6.49,中央氣象局,屏東縣,"120,44,47","22,00,14",2015-11-23 12:00
臺北,5.23,中央氣象局,臺北市,"121,30,53","25,02,16",2015-11-23 12:00
成功,7.27,中央氣象局,臺東縣,"121,22,24","23,05,51",2015-11-23 12:00
基隆,2.01,中央氣象局,基隆市,"121,44,26","25,07,60",2015-11-23 12:00
新屋,-999,中央氣象局,桃園市,"121,02,51","25,00,24",2015-11-23 12:00
蘭嶼,4.26,中央氣象局,臺東縣,"121,33,30","22,02,13",2015-11-23 12:00
臺東,6.03,中央氣象局,臺東縣,"121,09,17","22,45,08",2015-11-23 12:00
日月潭,5.32,中央氣象局,南投縣,"120,54,29","23,52,53",2015-11-23 12:00
金門,4.61,中央氣象局,金門縣,"118,17,21","24,24,26",2015-11-23 12:00
宜蘭,5.12,中央氣象局,宜蘭縣,"121,45,24","24,45,50",2015-11-23 12:00
澎湖,5.16,中央氣象局,澎湖縣,"119,33,47","23,33,56",2015-11-23 12:00
臺中,4.98,中央氣象局,臺中市,"120,41,03","24,08,45",2015-11-23 12:00
嘉義,3.92,中央氣象局,嘉義市,"120,25,58","23,29,45",2015-11-23 12:00
屏東,6,環境保護署,屏東縣,"120,29,16.92","22,40,23.09",2015-11-23 12:00
橋頭,4,環境保護署,高雄市,"120,18,20.48","22,45,27.02",2015-11-23 12:00
新營,5,環境保護署,臺南市,"120,19,2.10","23,18,20.28",2015-11-23 12:00
朴子,6,環境保護署,嘉義縣,"120,14,50.46","23,27,55.11",2015-11-23 12:00
塔塔加,8,環境保護署,嘉義縣,"120,52,50.06","23,28,14.19",2015-11-23 12:00
阿里山,4,環境保護署,嘉義縣,"120,48,05.02","23,30,30.82",2015-11-23 12:00
斗六,6,環境保護署,雲林縣,"120,32,41.98","23,42,42.67",2015-11-23 12:00
南投,6,環境保護署,南投縣,"120,41,7.1","23,54,46.8",2015-11-23 12:00
彰化,6,環境保護署,彰化縣,"120,32,29.47","24,03,57.60",2015-11-23 12:00
沙鹿,6,環境保護署,臺中市,"120,34,7.66","24,13,32.26",2015-11-23 12:00
苗栗,5,環境保護署,苗栗縣,"120,49,12.72","24,33,54.97",2015-11-23 12:00
桃園,6,環境保護署,桃園市,"121,19,11.87","24,59,41.24",2015-11-23 12:00
板橋,5,環境保護署,新北市,"121,27,31.2","25,00,46.7",2015-11-23 12:00
淡水,3,環境保護署,新北市,"121,26,57.26","25,09,52.20",2015-11-23 12:00
